STATE,STATE_AB,COUNTY,TVDMA,STATEFP,COUNTYFP,COUNTY_PROPER,,,
ARKANSAS,AR,FRANKLIN," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,047,Franklin,,,
ARKANSAS,AR,FULTON," Springfield, MO - AR DMA",05,049,Fulton,,,
ARKANSAS,AR,GARLAND," Little Rock - Pine Bluff, AR DMA",05,051,Garland,,,
ARKANSAS,AR,GRANT," Little Rock - Pine Bluff, AR DMA",05,053,Grant,,,
ARKANSAS,AR,GREENE," Jonesboro, AR - MO DMA",05,055,Greene,,,
ARKANSAS,AR,HEMPSTEAD," Shreveport, LA - AR - OK - TX DMA",05,057,Hempstead,,,
ARKANSAS,AR,HOT SPRING," Little Rock - Pine Bluff, AR DMA",05,059,Hot Spring,,,
ARKANSAS,AR,HOWARD," Shreveport, LA - AR - OK - TX DMA",05,061,Howard,,,
ARKANSAS,AR,INDEPENDENCE," Little Rock - Pine Bluff, AR DMA",05,063,Independence,,,
ARKANSAS,AR,IZARD," Jonesboro, AR - MO DMA",05,065,Izard,,,
ARKANSAS,AR,JACKSON," Little Rock - Pine Bluff, AR DMA",05,067,Jackson,,,
ARKANSAS,AR,JEFFERSON," Little Rock - Pine Bluff, AR DMA",05,069,Jefferson,,,
ARKANSAS,AR,JOHNSON," Little Rock - Pine Bluff, AR DMA",05,071,Johnson,,,
ARKANSAS,AR,LAFAYETTE," Shreveport, LA - AR - OK - TX DMA",05,073,Lafayette,,,
ARKANSAS,AR,LAWRENCE," Jonesboro, AR - MO DMA",05,075,Lawrence,,,
ARKANSAS,AR,LEE," Memphis, TN - AR- MS - MO DMA",05,077,Lee,,,
ARKANSAS,AR,LINCOLN," Little Rock - Pine Bluff, AR DMA",05,079,Lincoln,,,
ARKANSAS,AR,LITTLE RIVER," Shreveport, LA - AR - OK - TX DMA",05,081,Little River,,,
ARKANSAS,AR,LOGAN," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,083,Logan,,,
ARKANSAS,AR,LONOKE," Little Rock - Pine Bluff, AR DMA",05,085,Lonoke,,,
ARKANSAS,AR,MADISON," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA",05,087,Madison,,,
ARKANSAS,AR,MARION," Springfield, MO - AR DMA",05,089,Marion,,,
ARKANSAS,AR,MILLER," Shreveport, LA - AR - OK - TX DMA",05,091,Miller,,,
ARKANSAS,AR,MISSISSIPPI," Memphis, TN - AR- MS - MO DMA",05,093,Mississippi,,,
ARKANSAS,AR,MONROE," Little Rock - Pine Bluff, AR DMA",05,095,Monroe,,,
ARKANSAS,AR,MONTGOMERY," Little Rock - Pine Bluff, AR DMA",05,097,Montgomery,,,
ARKANSAS,AR,NEVADA," Shreveport, LA - AR - OK - TX DMA",05,099,Nevada,,,
ARKANSAS,AR,NEWTON," Springfield, MO - AR DMA",05,101,Newton,,,
ARKANSAS,AR,OUACHITA," Little Rock - Pine Bluff, AR DMA",05,103,Ouachita,,,
ARKANSAS,AR,PERRY," Little Rock - Pine Bluff, AR DMA",05,105,Perry,,,
ARKANSAS,AR,PHILLIPS," Memphis, TN - AR- MS - MO DMA",05,107,Phillips,,,
ARKANSAS,AR,PIKE," Little Rock - Pine Bluff, AR DMA",05,109,Pike,,,
ARKANSAS,AR,POINSETT," Memphis, TN - AR- MS - MO DMA",05,111,Poinsett,,,
ARKANSAS,AR,POLK," Little Rock - Pine Bluff, AR DMA",05,113,Polk,,,
ARKANSAS,AR,POPE," Little Rock - Pine Bluff, AR DMA",05,115,Pope,,,
